id,name,type,summary,difficulty,stars,starVotes,location,url,imgSqSmall,imgSmall,imgSmallMed,imgMedium,length,ascent,descent,high,low,longitude,latitude,conditionStatus,conditionDetails,conditionDate
5071276,Backbone Trail: Will Rogers to Temescal Ridge,Recommended Route,"An amazing out-and-back over the Pacific, this Santa Monica classic has a little of everything.",blueBlack,4,47,"Santa Monica, California",https://www.mtbproject.com/trail/5071276/backbone-trail-will-rogers-to-temescal-ridge,https://img.youtube.com/vi/vbzTzv3lkgQ/hqdefault.jpg,https://img.youtube.com/vi/vbzTzv3lkgQ/hqdefault.jpg,https://img.youtube.com/vi/vbzTzv3lkgQ/hqdefault.jpg,https://img.youtube.com/vi/vbzTzv3lkgQ/hqdefault.jpg,14.2,1953,-1970,2064,461,-118.5115,34.0551,All Clear,Dry - Crowded,2020-10-17 14:15:42
5498039,Strawberry Peak Loop,Recommended Route,"This ride features a steep fireroad climb, cliff-side singletrack, and fast sections on Gabrielino.",black,4.2,48,"Altadena, California",https://www.mtbproject.com/trail/5498039/strawberry-peak-loop,https://cdn2.apstatic.com/photos/mtb/7030598_sqsmall_1555017226.jpg,https://cdn2.apstatic.com/photos/mtb/7030598_small_1555017226.jpg,https://cdn2.apstatic.com/photos/mtb/7030598_smallMed_1555017226.jpg,https://cdn2.apstatic.com/photos/mtb/7030598_medium_1555017226.jpg,15.6,2593,-2603,5226,3307,-118.1533,34.2705,Minor Issues,Dry,2020-08-09 13:29:59
496099,Romero Loop,Recommended Route,Figure eight loop with a leg-burning 6 mile climb and a thrilling 4 mile descent,black,4.2,44,"Summerland, California",https://www.mtbproject.com/trail/496099/romero-loop,https://cdn2.apstatic.com/photos/mtb/7006242_sqsmall_1554824835.jpg,https://cdn2.apstatic.com/photos/mtb/7006242_small_1554824835.jpg,https://cdn2.apstatic.com/photos/mtb/7006242_smallMed_1554824835.jpg,https://cdn2.apstatic.com/photos/mtb/7006242_medium_1554824835.jpg,10.2,2366,-2364,3156,890,-119.5906,34.453,All Clear,Dry,2020-10-17 09:34:51
7020373,Aliso and Wood Canyons Tour,Recommended Route,A classic tour of Aliso and Wood Canyons Park with some demanding ups and seriously-fun downs.,blueBlack,4.3,38,"Aliso Viejo, California",https://www.mtbproject.com/trail/7020373/aliso-and-wood-canyons-tour,https://cdn2.apstatic.com/photos/mtb/7001129_sqsmall_1554401193.jpg,https://cdn2.apstatic.com/photos/mtb/7001129_small_1554401193.jpg,https://cdn2.apstatic.com/photos/mtb/7001129_smallMed_1554401193.jpg,https://cdn2.apstatic.com/photos/mtb/7001129_medium_1554401193.jpg,14.7,1539,-1539,1000,95,-117.7199,33.5517,All Clear,Dry,2020-10-10 15:33:57
312365,Whiting Ranch Loop,Recommended Route,A basic loop with almost all the climbing in the first half and downhill for the rest.,blue,4,47,"Foothill Ranch, California",https://www.mtbproject.com/trail/312365/whiting-ranch-loop,https://img.youtube.com/vi/c7qYkQnl0DI/hqdefault.jpg,https://img.youtube.com/vi/c7qYkQnl0DI/hqdefault.jpg,https://img.youtube.com/vi/c7qYkQnl0DI/hqdefault.jpg,https://img.youtube.com/vi/c7qYkQnl0DI/hqdefault.jpg,7.1,690,-685,1448,786,-117.6669,33.6816,All Clear,,2020-10-05 09:32:41
536916,BLT to Noble Canyon,Recommended Route,"A one-of-a-kind ride through the ridges, meadows and canyons of the Santa Rosa Mountains.",black,4.7,33,"Pine Valley, California",https://www.mtbproject.com/trail/536916/blt-to-noble-canyon,https://cdn2.apstatic.com/photos/mtb/537409_sqsmall_1554221284.jpg,https://cdn2.apstatic.com/photos/mtb/537409_small_1554221284.jpg,https://cdn2.apstatic.com/photos/mtb/537409_smallMed_1554221284.jpg,https://cdn2.apstatic.com/photos/mtb/537409_medium_1554221284.jpg,20.2,1083,-3322,6058,3737,-116.4239,32.8568,All Clear,Dry,2020-09-06 13:49:24
562722,Big Laguna Trails,Recommended Route,A fun network of singletrack in the pines and alpine meadows of the Big Laguna Recreation Area.,blue,4.5,33,"Pine Valley, California",https://www.mtbproject.com/trail/562722/big-laguna-trails,https://cdn2.apstatic.com/photos/mtb/537408_sqsmall_1554221281.jpg,https://cdn2.apstatic.com/photos/mtb/537408_small_1554221281.jpg,https://cdn2.apstatic.com/photos/mtb/537408_smallMed_1554221281.jpg,https://cdn2.apstatic.com/photos/mtb/537408_medium_1554221281.jpg,9.4,628,-1048,6074,5389,-116.4239,32.8568,All Clear,Dry,2020-09-06 13:49:24
5428231,Mount Pinos Loop,Recommended Route,"Nice n' easy, paved climb to a railing fast trail descent!",blue,4.6,34,"Pine Mountain Club, California",https://www.mtbproject.com/trail/5428231/mount-pinos-loop,https://cdn2.apstatic.com/photos/mtb/7033188_sqsmall_1568685380.jpg,https://cdn2.apstatic.com/photos/mtb/7033188_small_1568685380.jpg,https://cdn2.apstatic.com/photos/mtb/7033188_smallMed_1568685380.jpg,https://cdn2.apstatic.com/photos/mtb/7033188_medium_1568685380.jpg,14.9,2368,-2365,8345,6013,-119.0855,34.8411,All Clear,Dry: The forest was re-opened on October 9th.  ,2020-10-17 12:18:30
7002747,Shady Canyon to Bommer Canyon to Quail Hill Loop,Recommended Route,A nice loop starting at the Quail Hill Parking area through Bommer Canyon and Serrano Ridge.,blue,4.1,42,"Irvine, California",https://www.mtbproject.com/trail/7002747/shady-canyon-to-bommer-canyon-to-quail-hill-loop,https://cdn2.apstatic.com/photos/mtb/7024973_sqsmall_1555001994.jpg,https://cdn2.apstatic.com/photos/mtb/7024973_small_1555001994.jpg,https://cdn2.apstatic.com/photos/mtb/7024973_smallMed_1555001994.jpg,https://cdn2.apstatic.com/photos/mtb/7024973_medium_1555001994.jpg,14.6,1437,-1434,1000,234,-117.7773,33.6456,Minor Issues,Muddy,2020-10-18 09:27:45
1800930,Coast to Crest Trail - North Shore Lake Hodges,Recommended Route,A great all-around trail for all abilities.,greenBlue,4,47,"Escondido, California",https://www.mtbproject.com/trail/1800930/coast-to-crest-trail-north-shore-lake-hodges,https://cdn2.apstatic.com/photos/mtb/7018342_sqsmall_1554918202.jpg,https://cdn2.apstatic.com/photos/mtb/7018342_small_1554918202.jpg,https://cdn2.apstatic.com/photos/mtb/7018342_smallMed_1554918202.jpg,https://cdn2.apstatic.com/photos/mtb/7018342_medium_1554918202.jpg,15.6,407,-407,424,323,-117.0683,33.0662,All Clear,Dry,2020-10-03 11:37:54
5338058,Irvine Regional Park,Recommended Route,Santiago Oaks is one of the better mountain biking spots in all of Orange County.,blueBlack,4.6,26,"Villa Park, California",https://www.mtbproject.com/trail/5338058/irvine-regional-park,https://img.youtube.com/vi/bqxsjAwov9M/hqdefault.jpg,https://img.youtube.com/vi/bqxsjAwov9M/hqdefault.jpg,https://img.youtube.com/vi/bqxsjAwov9M/hqdefault.jpg,https://img.youtube.com/vi/bqxsjAwov9M/hqdefault.jpg,7.9,1294,-1294,1045,508,-117.7584,33.7995,All Clear,Dry,2020-08-29 10:40:20
5066649,Whiting + The Luge,Recommended Route,Two of South Orange County's popular loops combined into one adventure.,black,4.2,35,"Foothill Ranch, California",https://www.mtbproject.com/trail/5066649/whiting-the-luge,https://i.vimeocdn.com/video/555401835_640.jpg,https://i.vimeocdn.com/video/555401835_640.jpg,https://i.vimeocdn.com/video/555401835_640.jpg,https://i.vimeocdn.com/video/555401835_640.jpg,14.9,1911,-1912,2304,804,-117.6536,33.6717,All Clear,Dry,2020-09-02 13:05:10
4150052,Santa Ana River Trail (SART) 2E03 Shuttle,Recommended Route,A long shuttle ride through amazing singletrack.,blue,4.4,30,"Big Bear City, California",https://www.mtbproject.com/trail/4150052/santa-ana-river-trail-sart-2e03-shuttle,https://cdn2.apstatic.com/photos/mtb/7016204_sqsmall_1554914893.jpg,https://cdn2.apstatic.com/photos/mtb/7016204_small_1554914893.jpg,https://cdn2.apstatic.com/photos/mtb/7016204_smallMed_1554914893.jpg,https://cdn2.apstatic.com/photos/mtb/7016204_medium_1554914893.jpg,13.7,1300,-1782,6380,5021,-116.8298,34.1707,All Clear,"Dry, Mostly Dry - Overgrown towards the end, a pair of goggles recommended. Parts of the trail are washed out and loose",2020-08-17 00:37:15
7013479,Ken Burton Loop,Recommended Route,A moderate loop and popular option out of Altadena.,black,3.5,47,"La Cañada Flintridge, California",https://www.mtbproject.com/trail/7013479/ken-burton-loop,https://cdn2.apstatic.com/photos/mtb/7028426_sqsmall_1555013017.jpg,https://cdn2.apstatic.com/photos/mtb/7028426_small_1555013017.jpg,https://cdn2.apstatic.com/photos/mtb/7028426_smallMed_1555013017.jpg,https://cdn2.apstatic.com/photos/mtb/7028426_medium_1555013017.jpg,14.8,2060,-2057,2947,1156,-118.1684,34.1935,Minor Issues,"Dry - Very soft shoulders in some sections between switchbacks. Fairly overgrown, but manageable.",2020-10-21 16:42:09
7001157,Beeler Canyon Marthas Grove Loop,Recommended Route,A great way to link Sycamore Canyon/Goodan Ranch.,blueBlack,3.9,37,"Poway, California",https://www.mtbproject.com/trail/7001157/beeler-canyon-marthas-grove-loop,https://cdn2.apstatic.com/photos/mtb/7000828_sqsmall_1554400932.jpg,https://cdn2.apstatic.com/photos/mtb/7000828_small_1554400932.jpg,https://cdn2.apstatic.com/photos/mtb/7000828_smallMed_1554400932.jpg,https://cdn2.apstatic.com/photos/mtb/7000828_medium_1554400932.jpg,10.8,1055,-1055,1164,686,-117.0179,32.9344,All Clear,Dry,2020-09-13 19:28:45
7026347,Sullivan Canyon - Westridge Singletrack Loop,Recommended Route,Shaded climb out of Sullivan Canyon to Westridge Singletrack.,blue,3.9,35,"Santa Monica, California",https://www.mtbproject.com/trail/7026347/sullivan-canyon-westridge-singletrack-loop,https://img.youtube.com/vi/piOyH4HWSbs/hqdefault.jpg,https://img.youtube.com/vi/piOyH4HWSbs/hqdefault.jpg,https://img.youtube.com/vi/piOyH4HWSbs/hqdefault.jpg,https://img.youtube.com/vi/piOyH4HWSbs/hqdefault.jpg,11.6,1634,-1627,1977,612,-118.5059,34.0736,All Clear,Dry,2020-10-16 13:14:57
315481,Hanna Flats Loop,Recommended Route,A local favorite and a must-do loop if you're visiting the area.,blue,4,36,"Big Bear Lake, California",https://www.mtbproject.com/trail/315481/hanna-flats-loop,https://cdn2.apstatic.com/photos/mtb/7037682_sqsmall_1602718558.jpg,https://cdn2.apstatic.com/photos/mtb/7037682_small_1602718558.jpg,https://cdn2.apstatic.com/photos/mtb/7037682_smallMed_1602718558.jpg,https://cdn2.apstatic.com/photos/mtb/7037682_medium_1602718558.jpg,8.1,940,-949,7318,6755,-116.9477,34.2699,All Clear,Mostly Dry,2020-10-18 10:14:35
4578833,Las Llajas/Chumash Loop,Recommended Route,An excellent cardio ride with a delighful downhill treat.,black,4.2,32,"Santa Susana, California",https://www.mtbproject.com/trail/4578833/las-llajaschumash-loop,https://cdn2.apstatic.com/photos/mtb/4713572_sqsmall_1554328568.jpg,https://cdn2.apstatic.com/photos/mtb/4713572_small_1554328568.jpg,https://cdn2.apstatic.com/photos/mtb/4713572_smallMed_1554328568.jpg,https://cdn2.apstatic.com/photos/mtb/4713572_medium_1554328568.jpg,9.1,1523,-1518,2661,1240,-118.6804,34.2971,All Clear,Dry,2020-10-10 10:38:04
789086,New Millennium Trail + Las Virgenes Downhill,Recommended Route,"An amazing loop with awesome views, technical switchbacks, brutal climbs, and fast downhills.",blueBlack,3.9,34,"Agoura, California",https://www.mtbproject.com/trail/789086/new-millennium-trail-las-virgenes-downhill,https://img.youtube.com/vi/B91uD3_nChs/hqdefault.jpg,https://img.youtube.com/vi/B91uD3_nChs/hqdefault.jpg,https://img.youtube.com/vi/B91uD3_nChs/hqdefault.jpg,https://img.youtube.com/vi/B91uD3_nChs/hqdefault.jpg,17.2,2558,-2568,1698,616,-118.7025,34.1341,All Clear,Dry,2020-10-21 14:59:56
7039200,Santiago Oaks 10-Mile Enduro,Recommended Route,A true enduro ride with four thrilling downhills and four grueling climbs.,blueBlack,4.9,12,"North Tustin, California",https://www.mtbproject.com/trail/7039200/santiago-oaks-10-mile-enduro,https://img.youtube.com/vi/bqxsjAwov9M/hqdefault.jpg,https://img.youtube.com/vi/bqxsjAwov9M/hqdefault.jpg,https://img.youtube.com/vi/bqxsjAwov9M/hqdefault.jpg,https://img.youtube.com/vi/bqxsjAwov9M/hqdefault.jpg,10.2,1663,-1662,1063,499,-117.7677,33.7919,All Clear,Dry,2020-10-19 07:39:04
7026788,Point Mugu Loop,Recommended Route,"A loop with the best trails in the area, and some of the greatest trailside views in California.",blueBlack,4.2,26,"Camarillo, California",https://www.mtbproject.com/trail/7026788/point-mugu-loop,https://img.youtube.com/vi/sxFTyp578q4/hqdefault.jpg,https://img.youtube.com/vi/sxFTyp578q4/hqdefault.jpg,https://img.youtube.com/vi/sxFTyp578q4/hqdefault.jpg,https://img.youtube.com/vi/sxFTyp578q4/hqdefault.jpg,15.4,2070,-2070,1241,23,-119.0142,34.0716,All Clear,Dry - Very scenic and worth the effort.,2020-10-18 13:02:54
4581150,Dead Cow/Suicide Loop,Recommended Route,"Short, relentless technical climb followed by a thrilling downhill ride recommended for any DHer",black,4.5,22,"Oak Park, California",https://www.mtbproject.com/trail/4581150/dead-cowsuicide-loop,https://cdn2.apstatic.com/photos/mtb/7007684_sqsmall_1554827014.jpg,https://cdn2.apstatic.com/photos/mtb/7007684_small_1554827014.jpg,https://cdn2.apstatic.com/photos/mtb/7007684_smallMed_1554827014.jpg,https://cdn2.apstatic.com/photos/mtb/7007684_medium_1554827014.jpg,4.1,1126,-1126,2217,1107,-118.7712,34.1862,Unknown,null,1970-01-01 00:00:00
302795,Cherry Canyon,Recommended Route,A great loop around the back area of Descanso Gardens and an amazing ride for both experts and beginners.,blue,3.8,33,"La Cañada Flintridge, California",https://www.mtbproject.com/trail/302795/cherry-canyon,https://cdn2.apstatic.com/photos/mtb/5909082_sqsmall_1554389830.jpg,https://cdn2.apstatic.com/photos/mtb/5909082_small_1554389830.jpg,https://cdn2.apstatic.com/photos/mtb/5909082_smallMed_1554389830.jpg,https://cdn2.apstatic.com/photos/mtb/5909082_medium_1554389830.jpg,4.2,718,-718,1884,1360,-118.2053,34.1966,All Clear,Dry,2020-10-04 11:30:16
7012236,Eaton Saddle Downhill Shuttle,Recommended Route,"An epic, downhill combination of some of the best singletrack on the frontside of Eaton Saddle.",black,4.6,18,"Altadena, California",https://www.mtbproject.com/trail/7012236/eaton-saddle-downhill-shuttle,https://cdn2.apstatic.com/photos/mtb/7031902_sqsmall_1562878051.jpg,https://cdn2.apstatic.com/photos/mtb/7031902_small_1562878051.jpg,https://cdn2.apstatic.com/photos/mtb/7031902_smallMed_1562878051.jpg,https://cdn2.apstatic.com/photos/mtb/7031902_medium_1562878051.jpg,13.8,768,-4747,5351,1156,-118.0934,34.2393,All Clear,Dry,2020-09-06 14:27:39
4865267,Turnbull Canyon,Recommended Route,"A huge mountain bike playground with a vast combination of trails, loops and connectors.",blueBlack,3.6,36,"Whittier, California",https://www.mtbproject.com/trail/4865267/turnbull-canyon,https://cdn2.apstatic.com/photos/mtb/7016947_sqsmall_1554916041.jpg,https://cdn2.apstatic.com/photos/mtb/7016947_small_1554916041.jpg,https://cdn2.apstatic.com/photos/mtb/7016947_smallMed_1554916041.jpg,https://cdn2.apstatic.com/photos/mtb/7016947_medium_1554916041.jpg,12,2038,-2037,1331,551,-118.0241,33.9887,All Clear,Dry,2020-10-03 18:41:44
4595457,Camuesa Conector Loop,Recommended Route,The best mid length loop in the Santa Ynez River area.,blueBlack,4.3,24,"Mission Canyon, California",https://www.mtbproject.com/trail/4595457/camuesa-conector-loop,https://cdn2.apstatic.com/photos/mtb/7024803_sqsmall_1555001704.jpg,https://cdn2.apstatic.com/photos/mtb/7024803_small_1555001704.jpg,https://cdn2.apstatic.com/photos/mtb/7024803_smallMed_1555001704.jpg,https://cdn2.apstatic.com/photos/mtb/7024803_medium_1555001704.jpg,10.6,1559,-1558,2302,1005,-119.7747,34.5451,All Clear,Dry,2020-09-07 10:18:17
4589947,Chumash/Hummingbird Loop,Recommended Route,A fun climb combined with a great DH trail.,black,4.3,23,"Santa Susana, California",https://www.mtbproject.com/trail/4589947/chumashhummingbird-loop,https://img.youtube.com/vi/nhbc7DqkHj0/hqdefault.jpg,https://img.youtube.com/vi/nhbc7DqkHj0/hqdefault.jpg,https://img.youtube.com/vi/nhbc7DqkHj0/hqdefault.jpg,https://img.youtube.com/vi/nhbc7DqkHj0/hqdefault.jpg,8.9,2117,-2144,2631,1085,-118.6622,34.2811,All Clear,Dry,2020-07-19 11:04:08
7011670,Topanga Creek Outpost Loop,Recommended Route,A 10-mile loop with a good mix of fire roads and singletracks.,blue,3.4,41,"Topanga, California",https://www.mtbproject.com/trail/7011670/topanga-creek-outpost-loop,https://cdn2.apstatic.com/photos/mtb/7007980_sqsmall_1554828061.jpg,https://cdn2.apstatic.com/photos/mtb/7007980_small_1554828061.jpg,https://cdn2.apstatic.com/photos/mtb/7007980_smallMed_1554828061.jpg,https://cdn2.apstatic.com/photos/mtb/7007980_medium_1554828061.jpg,10.7,1382,-1382,2059,895,-118.5916,34.1076,All Clear,Dry,2020-10-16 12:12:47
5859304,Lake Calavera Tour,Recommended Route,A great route through Calavera Preserve on some curvy singletrack with fun downhills.,blue,4,27,"Carlsbad, California",https://www.mtbproject.com/trail/5859304/lake-calavera-tour,https://cdn2.apstatic.com/photos/mtb/5795902_sqsmall_1554389248.jpg,https://cdn2.apstatic.com/photos/mtb/5795902_small_1554389248.jpg,https://cdn2.apstatic.com/photos/mtb/5795902_smallMed_1554389248.jpg,https://cdn2.apstatic.com/photos/mtb/5795902_medium_1554389248.jpg,5,392,-389,380,221,-117.2882,33.1711,All Clear,Dry,2020-10-18 15:09:25
7035043,Crystal Cove Singletrack Sampler,Recommended Route,An incredible 10-mile loop with a sampling of some of the best singletrack in Orange County.,blueBlack,4.4,18,"San Joaquin Hills, California",https://www.mtbproject.com/trail/7035043/crystal-cove-singletrack-sampler,https://img.youtube.com/vi/wJY6Zh9QTyA/hqdefault.jpg,https://img.youtube.com/vi/wJY6Zh9QTyA/hqdefault.jpg,https://img.youtube.com/vi/wJY6Zh9QTyA/hqdefault.jpg,https://img.youtube.com/vi/wJY6Zh9QTyA/hqdefault.jpg,9.9,1434,-1436,1002,351,-117.8019,33.6058,All Clear,Dry,2020-09-25 12:56:07
7010999,Cheeseboro Loop,Recommended Route,This is a great loop that will introduce you to the trails in this system.,blueBlack,4,28,"Agoura, California",https://www.mtbproject.com/trail/7010999/cheeseboro-loop,https://cdn2.apstatic.com/photos/mtb/7013756_sqsmall_1554846275.jpg,https://cdn2.apstatic.com/photos/mtb/7013756_small_1554846275.jpg,https://cdn2.apstatic.com/photos/mtb/7013756_smallMed_1554846275.jpg,https://cdn2.apstatic.com/photos/mtb/7013756_medium_1554846275.jpg,13,1514,-1514,1698,964,-118.7333,34.1544,All Clear,Dry,2020-10-17 13:16:38
7015551,Crafton Hills,Recommended Route,"A mixed-width loop with moderate grades, switchbacks, and good flow; look for the fun descent to the parking lot.",blue,4.2,25,"Yucaipa, California",https://www.mtbproject.com/trail/7015551/crafton-hills,https://cdn2.apstatic.com/photos/mtb/7023368_sqsmall_1554932116.jpg,https://cdn2.apstatic.com/photos/mtb/7023368_small_1554932116.jpg,https://cdn2.apstatic.com/photos/mtb/7023368_smallMed_1554932116.jpg,https://cdn2.apstatic.com/photos/mtb/7023368_medium_1554932116.jpg,9.9,1369,-1367,3424,2193,-117.0918,34.0364,Unknown,null,1970-01-01 00:00:00
2500587,Jesusita Out and Back,Recommended Route,Backside of Jesusita the out and back version.  Flowy with technical climbing and descending.,black,3.9,30,"Mission Canyon, California",https://www.mtbproject.com/trail/2500587/jesusita-out-and-back,https://cdn2.apstatic.com/photos/mtb/2501293_sqsmall_1554239405.jpg,https://cdn2.apstatic.com/photos/mtb/2501293_small_1554239405.jpg,https://cdn2.apstatic.com/photos/mtb/2501293_smallMed_1554239405.jpg,https://cdn2.apstatic.com/photos/mtb/2501293_medium_1554239405.jpg,6.8,1323,-1323,1764,483,-119.7287,34.4543,All Clear,Dry,2020-10-03 09:49:21
7002839,Lilac Miners Peak Loop,Recommended Route,This route is seven miles with a good amount of elevation gain.,blueBlack,4,25,"Fairbanks Ranch, California",https://www.mtbproject.com/trail/7002839/lilac-miners-peak-loop,https://cdn2.apstatic.com/photos/mtb/7015814_sqsmall_1554913338.jpg,https://cdn2.apstatic.com/photos/mtb/7015814_small_1554913338.jpg,https://cdn2.apstatic.com/photos/mtb/7015814_smallMed_1554913338.jpg,https://cdn2.apstatic.com/photos/mtb/7015814_medium_1554913338.jpg,7.8,1054,-1054,1554,634,-117.1305,32.9891,All Clear,Dry - Rocky as hell. very technical.,2020-10-09 16:22:14
4896717,Sunset Ridge / El Prieto Loop from Millard Campground,Recommended Route,"This is a good, tough loop which includes steep climbs rewarded by great singletrack descents.",black,4.4,19,"Altadena, California",https://www.mtbproject.com/trail/4896717/sunset-ridge-el-prieto-loop-from-millard-campground,https://cdn2.apstatic.com/photos/mtb/7031902_sqsmall_1562878051.jpg,https://cdn2.apstatic.com/photos/mtb/7031902_small_1562878051.jpg,https://cdn2.apstatic.com/photos/mtb/7031902_smallMed_1562878051.jpg,https://cdn2.apstatic.com/photos/mtb/7031902_medium_1562878051.jpg,14.3,2961,-2987,3428,1316,-118.1477,34.2148,All Clear,Dry,2020-08-01 10:15:32
